,text,label,matches
10,"[',', 'in', 'maritime', 'life', ',', 'far', 'more', 'than', 'in', 'that', 'of', 'terra', 'firma', ',', 'wild', 'rumors', 'abound', ',', 'wherever', 'there', 'is', 'any', 'adequate', 'reality', 'for', 'them', 'to', 'cling', 'to', '.', 'And', 'as', 'the', 'sea', 'surpasses', 'the', 'land', 'in', 'this', 'matter', ',', 'so', 'the', 'whale', 'fishery', 'surpasses', 'every', 'other', 'sort', 'of', 'maritime', 'life', ',', 'in', 'the', 'wonderfulness', 'and', 'fearfulness', 'of', 'the', 'rumors', 'which', 'sometimes', 'circulate', 'there', '.', 'For', 'not', 'only', 'are', 'whalemen', 'as', 'a', 'body', 'unexempt', 'from', 'that', 'ignorance', 'and', 'superstitiousness', 'hereditary', 'to', 'all', 'sailors', ';', 'but', 'of', 'all', 'sailors', ',', 'they', 'are', 'by', 'all', 'odds', 'the', 'most', 'directly', 'brought', 'into']",a,[]
11,"['not', 'by', 'any', 'calm', 'and', 'indolent', 'spoutings', ';', 'not', 'by', 'the', 'peaceable', 'gush', 'of', 'that', 'mystic', 'fountain', 'in', 'his', 'head', ',', 'did', 'the', 'White', 'Whale', 'now', 'reveal', 'his', 'vicinity', ';', 'but', 'by', 'the', 'far', 'more', 'wondrous', 'phenomenon', 'of', 'breaching', '.', 'Rising', 'with', 'his', 'utmost', 'velocity', 'from', 'the', 'furthest', 'depths', ',', 'the', 'Sperm', 'Whale', 'thus', 'booms', 'his', 'entire', 'bulk', 'into', 'the', 'pure', 'element', 'of', 'air', ',', 'and', 'piling', 'up', 'a', 'mountain', 'of', 'dazzling', 'foam', ',', 'shows', 'his', 'place', 'to', 'the', 'distance', 'of', 'seven', 'miles', 'and', 'more', '.', 'In', 'those', 'moments', ',', 'the', 'torn', ',', 'enraged', 'waves', 'he', 'shakes', 'off', ',', 'seem']",a,[]
12,"['hand', '.', ""''"", 'But', 'in', 'most', 'creatures', ',', 'nay', 'in', 'man', 'himself', ',', 'very', 'often', 'the', 'brow', 'is', 'but', 'a', 'mere', 'strip', 'of', 'alpine', 'land', 'lying', 'along', 'the', 'snow', 'line', '.', 'Few', 'are', 'the', 'foreheads', 'which', 'like', 'Shakespeare', ""'s"", 'or', 'Melancthon', ""'s"", 'rise', 'so', 'high', ',', 'and', 'descend', 'so', 'low', ',', 'that', 'the', 'eyes', 'themselves', 'seem', 'clear', ',', 'eternal', ',', 'tideless', 'mountain', 'lakes', ';', 'and', 'all', 'above', 'them', 'in', 'the', ""forehead's"", 'wrinkles', ',', 'you', 'seem', 'to', 'track', 'the', 'antlered', 'thoughts', 'descending', 'there', 'to', 'drink', ',', 'as', 'the', 'Highland', 'hunters', 'track', 'the', 'snow', 'prints', 'of', 'the', 'deer', '.', 'But', 'in', 'the']",a,[]
13,"['of', 'the', 'whale', '.', 'I', 'have', 'had', 'controversies', 'about', 'it', 'with', 'experienced', 'whalemen', 'afloat', ',', 'and', 'learned', 'naturalists', 'ashore', '.', 'My', 'original', 'opinion', 'remains', 'unchanged', ';', 'but', 'it', 'is', 'only', 'an', 'opinion', '.', 'The', 'question', 'is', ',', 'what', 'and', 'where', 'is', 'the', 'skin', 'of', 'the', 'whale', '?', 'Already', 'you', 'know', 'what', 'his', 'blubber', 'is', '.', 'That', 'blubber', 'is', 'something', 'of', 'the', 'consistence', 'of', 'firm', ',', 'close-grained', 'beef', ',', 'but', 'tougher', ',', 'more', 'elastic', 'and', 'compact', ',', 'and', 'ranges', 'from', 'eight', 'or', 'ten', 'to', 'twelve', 'and', 'fifteen', 'inches', 'in', 'thickness', '.', 'Now', ',', 'however', 'preposterous', 'it', 'may', 'at', 'first', 'seem', 'to']",a,[]
14,"['fast', ';', 'but', 'hardly', 'were', 'they', 'overheard', ',', 'when', 'with', 'a', 'lightning-like', 'hurtling', 'whisper', 'Starbuck', 'said', ':', '``', 'Stand', 'up', '!', ""''"", 'and', 'Queequeg', ',', 'harpoon', 'in', 'hand', ',', 'sprang', 'to', 'his', 'feet', '.', 'Though', 'not', 'one', 'of', 'the', 'oarsmen', 'was', 'then', 'facing', 'the', 'life', 'and', 'death', 'peril', 'so', 'close', 'to', 'them', 'ahead', ',', 'yet', 'with', 'their', 'eyes', 'on', 'the', 'intense', 'countenance', 'of', 'the', 'mate', 'in', 'the', 'stern', 'of', 'the', 'boat', ',', 'they', 'knew', 'that', 'the', 'imminent', 'instant', 'had', 'come', ';', 'they', 'heard', ',', 'too', ',', 'an', 'enormous', 'wallowing', 'sound', 'as', 'of', 'fifty', 'elephants', 'stirring', 'in', 'their', 'litter', '.', 'Meanwhile']",a,[]
15,"['slate', ',', 'smoothed', 'ivory', ',', 'where', 'he', 'figures', 'up', 'the', 'latitude', '.', 'So', ',', 'so', ';', 'chisel', ',', 'file', ',', 'and', 'sand-paper', ',', 'now', '!', 'CHAPTER', '109', 'Ahab', 'and', 'Starbuck', 'in', 'the', 'Cabin', '.', 'According', 'to', 'usage', 'they', 'were', 'pumping', 'the', 'ship', 'next', 'morning', ';', 'and', 'lo', '!', 'no', 'inconsiderable', 'oil', 'came', 'up', 'with', 'the', 'water', ';', 'the', 'casks', 'below', 'must', 'have', 'sprung', 'a', 'bad', 'leak', '.', 'Much', 'concern', 'was', 'shown', ';', 'and', 'Starbuck', 'went', 'down', 'into', 'the', 'cabin', 'to', 'report', 'this', 'unfavourable', 'affair', '.', '*', '*', 'In', 'Sperm-whalemen', 'with', 'any', 'considerable', 'quantity', 'of', 'oil', 'on', 'board', ',', 'it', 'is']",a,[]
16,"[""''"", '``', 'Do', 'with', 'it', '?', 'Sell', 'it', 'for', 'an', 'ox', 'whip', 'when', 'we', 'get', 'home', ';', '--', 'what', 'else', '?', ""''"", '``', 'Now', ',', 'do', 'you', 'mean', 'what', 'you', 'say', ',', 'and', 'have', 'been', 'saying', 'all', 'along', ',', 'Stubb', '?', ""''"", '``', 'Mean', 'or', 'not', 'mean', ',', 'here', 'we', 'are', 'at', 'the', 'ship', '.', ""''"", 'The', 'boats', 'were', 'here', 'hailed', ',', 'to', 'tow', 'the', 'whale', 'on', 'the', 'larboard', 'side', ',', 'where', 'fluke', 'chains', 'and', 'other', 'necessaries', 'were', 'already', 'prepared', 'for', 'securing', 'him', '.', '``', 'Did', ""n't"", 'I', 'tell', 'you', 'so', '?', ""''"", 'said', 'Flask', ';', '``', 'yes', ',', 'you']",a,[]
17,"['double-darbies', ',', 'as', 'he', 'deserves', ',', 'but', 'lets', 'him', 'go', 'about', 'kidnapping', 'people', ';', 'aye', ',', 'and', 'signed', 'a', 'bond', 'with', 'him', ',', 'that', 'all', 'the', 'people', 'the', 'devil', 'kidnapped', ',', 'he', ""'d"", 'roast', 'for', 'him', '?', 'There', ""'s"", 'a', 'governor', '!', ""''"", '``', 'Do', 'you', 'suppose', 'Fedallah', 'wants', 'to', 'kidnap', 'Captain', 'Ahab', '?', ""''"", '``', 'Do', 'I', 'suppose', 'it', '?', 'You', ""'ll"", 'know', 'it', 'before', 'long', ',', 'Flask', '.', 'But', 'I', 'am', 'going', 'now', 'to', 'keep', 'a', 'sharp', 'look-out', 'on', 'him', ';', 'and', 'if', 'I', 'see', 'anything', 'very', 'suspicious', 'going', 'on', ',', 'I', ""'ll"", 'just', 'take', 'him', 'by', 'the']",a,[]
18,"['only', 'when', 'a', 'leaky', 'vessel', 'is', 'in', 'some', 'very', 'out', 'of', 'the', 'way', 'part', 'of', 'those', 'waters', ',', 'some', 'really', 'landless', 'latitude', ',', 'that', 'her', 'captain', 'begins', 'to', 'feel', 'a', 'little', 'anxious', '.', '``', 'Much', 'this', 'way', 'had', 'it', 'been', 'with', 'the', 'Town-Ho', ';', 'so', 'when', 'her', 'leak', 'was', 'found', 'gaining', 'once', 'more', ',', 'there', 'was', 'in', 'truth', 'some', 'small', 'concern', 'manifested', 'by', 'several', 'of', 'her', 'company', ';', 'especially', 'by', 'Radney', 'the', 'mate', '.', 'He', 'commanded', 'the', 'upper', 'sails', 'to', 'be', 'well', 'hoisted', ',', 'sheeted', 'home', 'anew', ',', 'and', 'every', 'way', 'expanded', 'to', 'the', 'breeze', '.', 'Now', 'this', 'Radney', ',']",a,[]
19,"['shiftings', 'of', 'the', 'windrowed', 'snows', 'of', 'prairies', ';', 'all', 'these', ',', 'to', 'Ishmael', ',', 'are', 'as', 'the', 'shaking', 'of', 'that', 'buffalo', 'robe', 'to', 'the', 'frightened', 'colt', '!', 'Though', 'neither', 'knows', 'where', 'lie', 'the', 'nameless', 'things', 'of', 'which', 'the', 'mystic', 'sign', 'gives', 'forth', 'such', 'hints', ';', 'yet', 'with', 'me', ',', 'as', 'with', 'the', 'colt', ',', 'somewhere', 'those', 'things', 'must', 'exist', '.', 'Though', 'in', 'many', 'of', 'its', 'aspects', 'this', 'visible', 'world', 'seems', 'formed', 'in', 'love', ',', 'the', 'invisible', 'spheres', 'were', 'formed', 'in', 'fright', '.', 'But', 'not', 'yet', 'have', 'we', 'solved', 'the', 'incantation', 'of', 'this', 'whiteness', ',', 'and', 'learned', 'why', 'it', 'appeals', 'with']",a,[]
20,"['in', 'a', 'gale', ';', 'and', 'I', 'may', 'look', 'so', '.', 'But', 'ere', 'I', 'break', ',', 'yell', 'hear', 'me', 'crack', ';', 'and', 'till', 'ye', 'hear', 'THAT', ',', 'know', 'that', 'Ahab', ""'s"", 'hawser', 'tows', 'his', 'purpose', 'yet', '.', 'Believe', 'ye', ',', 'men', ',', 'in', 'the', 'things', 'called', 'omens', '?', 'Then', 'laugh', 'aloud', ',', 'and', 'cry', 'encore', '!', 'For', 'ere', 'they', 'drown', ',', 'drowning', 'things', 'will', 'twice', 'rise', 'to', 'the', 'surface', ';', 'then', 'rise', 'again', ',', 'to', 'sink', 'for', 'evermore', '.', 'So', 'with', 'Moby', 'Dick', '--', 'two', 'days', 'he', ""'s"", 'floated', '--', 'tomorrow', 'will', 'be', 'the', 'third', '.', 'Aye', ',', 'men', ',', 'he']",a,[]
21,"['the', 'wall', 'which', 'formed', 'its', 'back', 'was', 'adorned', 'with', 'a', 'large', 'painting', 'representing', 'a', 'gallant', 'ship', 'beating', 'against', 'a', 'terrible', 'storm', 'off', 'a', 'lee', 'coast', 'of', 'black', 'rocks', 'and', 'snowy', 'breakers', '.', 'But', 'high', 'above', 'the', 'flying', 'scud', 'and', 'dark-rolling', 'clouds', ',', 'there', 'floated', 'a', 'little', 'isle', 'of', 'sunlight', ',', 'from', 'which', 'beamed', 'forth', 'an', 'angel', ""'s"", 'face', ';', 'and', 'this', 'bright', 'face', 'shed', 'a', 'distinct', 'spot', 'of', 'radiance', 'upon', 'the', 'ship', ""'s"", 'tossed', 'deck', ',', 'something', 'like', 'that', 'silver', 'plate', 'now', 'inserted', 'into', 'the', 'Victory', ""'s"", 'plank', 'where', 'Nelson', 'fell', '.', '``', 'Ah', ',', 'noble', 'ship', ',', ""''"", 'the']",a,[]
22,"['``', 'Well', 'then', ',', 'cook', ',', 'you', 'see', 'this', 'whale-steak', 'of', 'yours', 'was', 'so', 'very', 'bad', ',', 'that', 'I', 'have', 'put', 'it', 'out', 'of', 'sight', 'as', 'soon', 'as', 'possible', ';', 'you', 'see', 'that', ',', 'do', ""n't"", 'you', '?', 'Well', ',', 'for', 'the', 'future', ',', 'when', 'you', 'cook', 'another', 'whale-steak', 'for', 'my', 'private', 'table', 'here', ',', 'the', 'capstan', ',', 'I', ""'ll"", 'tell', 'you', 'what', 'to', 'do', 'so', 'as', 'not', 'to', 'spoil', 'it', 'by', 'overdoing', '.', 'Hold', 'the', 'steak', 'in', 'one', 'hand', ',', 'and', 'show', 'a', 'live', 'coal', 'to', 'it', 'with', 'the', 'other', ';', 'that', 'done', ',', 'dish', 'it', ';', 'd', ""'ye""]",a,[]
23,"['light', '.', 'He', 'makes', 'his', 'berth', 'an', 'Aladdin', ""'s"", 'lamp', ',', 'and', 'lays', 'him', 'down', 'in', 'it', ';', 'so', 'that', 'in', 'the', 'pitchiest', 'night', 'the', 'ship', ""'s"", 'black', 'hull', 'still', 'houses', 'an', 'illumination', '.', 'See', 'with', 'what', 'entire', 'freedom', 'the', 'whaleman', 'takes', 'his', 'handful', 'of', 'lamps', '--', 'often', 'but', 'old', 'bottles', 'and', 'vials', ',', 'though', '--', 'to', 'the', 'copper', 'cooler', 'at', 'the', 'try-works', ',', 'and', 'replenishes', 'them', 'there', ',', 'as', 'mugs', 'of', 'ale', 'at', 'a', 'vat', '.', 'He', 'burns', ',', 'too', ',', 'the', 'purest', 'of', 'oil', ',', 'in', 'its', 'unmanufactured', ',', 'and', ',', 'therefore', ',', 'unvitiated', 'state', ';', 'a', 'fluid']",a,[]
24,"['enough', ',', 'thought', 'I', ',', 'as', 'this', 'passage', 'occurred', 'to', 'my', 'mind', '--', 'old', 'black-letter', ',', 'thou', 'reasonest', 'well', '.', 'Yes', ',', 'these', 'eyes', 'are', 'windows', ',', 'and', 'this', 'body', 'of', 'mine', 'is', 'the', 'house', '.', 'What', 'a', 'pity', 'they', 'did', ""n't"", 'stop', 'up', 'the', 'chinks', 'and', 'the', 'crannies', 'though', ',', 'and', 'thrust', 'in', 'a', 'little', 'lint', 'here', 'and', 'there', '.', 'But', 'it', ""'s"", 'too', 'late', 'to', 'make', 'any', 'improvements', 'now', '.', 'The', 'universe', 'is', 'finished', ';', 'the', 'copestone', 'is', 'on', ',', 'and', 'the', 'chips', 'were', 'carted', 'off', 'a', 'million', 'years', 'ago', '.', 'Poor', 'Lazarus', 'there', ',', 'chattering', 'his', 'teeth']",a,[]
25,"['``', 'Advancement', 'of', 'Learning', ""''"", 'you', 'will', 'find', 'some', 'curious', 'whales', '.', 'But', 'quitting', 'all', 'these', 'unprofessional', 'attempts', ',', 'let', 'us', 'glance', 'at', 'those', 'pictures', 'of', 'leviathan', 'purporting', 'to', 'be', 'sober', ',', 'scientific', 'delineations', ',', 'by', 'those', 'who', 'know', '.', 'In', 'old', 'Harris', ""'s"", 'collection', 'of', 'voyages', 'there', 'are', 'some', 'plates', 'of', 'whales', 'extracted', 'from', 'a', 'Dutch', 'book', 'of', 'voyages', ',', 'A.D.', '1671', ',', 'entitled', '``', 'A', 'Whaling', 'Voyage', 'to', 'Spitzbergen', 'in', 'the', 'ship', 'Jonas', 'in', 'the', 'Whale', ',', 'Peter', 'Peterson', 'of', 'Friesland', ',', 'master', '.', ""''"", 'In', 'one', 'of', 'those', 'plates', 'the', 'whales', ',', 'like', 'great', 'rafts', 'of', 'logs']",a,[]
26,"['the', 'harpooneer', 'might', 'be', 'standing', 'in', 'the', 'entry', ',', 'all', 'ready', 'to', 'knock', 'me', 'down', '!', 'Still', ',', 'looking', 'round', 'me', 'again', ',', 'and', 'seeing', 'no', 'possible', 'chance', 'of', 'spending', 'a', 'sufferable', 'night', 'unless', 'in', 'some', 'other', 'person', ""'s"", 'bed', ',', 'I', 'began', 'to', 'think', 'that', 'after', 'all', 'I', 'might', 'be', 'cherishing', 'unwarrantable', 'prejudices', 'against', 'this', 'unknown', 'harpooneer', '.', 'Thinks', 'I', ',', 'I', ""'ll"", 'wait', 'awhile', ';', 'he', 'must', 'be', 'dropping', 'in', 'before', 'long', '.', 'I', ""'ll"", 'have', 'a', 'good', 'look', 'at', 'him', 'then', ',', 'and', 'perhaps', 'we', 'may', 'become', 'jolly', 'good', 'bedfellows', 'after', 'all', '--', 'there', ""'s"", 'no', 'telling']",a,[]
27,"['then', 'the', 'jaw', 'is', 'lashed', 'down', 'to', 'ringbolts', ',', 'and', 'a', 'tackle', 'being', 'rigged', 'from', 'aloft', ',', 'they', 'drag', 'out', 'these', 'teeth', ',', 'as', 'Michigan', 'oxen', 'drag', 'stumps', 'of', 'old', 'oaks', 'out', 'of', 'wild', 'wood', 'lands', '.', 'There', 'are', 'generally', 'forty-two', 'teeth', 'in', 'all', ';', 'in', 'old', 'whales', ',', 'much', 'worn', 'down', ',', 'but', 'undecayed', ';', 'nor', 'filled', 'after', 'our', 'artificial', 'fashion', '.', 'The', 'jaw', 'is', 'afterwards', 'sawn', 'into', 'slabs', ',', 'and', 'piled', 'away', 'like', 'joists', 'for', 'building', 'houses', '.', 'CHAPTER', '75', 'The', 'Right', 'Whale', ""'s"", 'Head', '--', 'Contrasted', 'View', '.', 'Crossing', 'the', 'deck', ',', 'let', 'us', 'now', 'have', 'a']",a,[]
28,"['perhaps', ',', 'might', 'have', 'been', 'secured', 'were', 'it', 'not', 'for', 'impatient', 'Ahab', ""'s"", 'loud', 'command', 'to', 'Stubb', 'to', 'desist', ',', 'and', 'come', 'on', 'board', ',', 'else', 'the', 'ship', 'would', 'bid', 'them', 'good', 'bye', '.', 'CHAPTER', '92', 'Ambergris', '.', 'Now', 'this', 'ambergris', 'is', 'a', 'very', 'curious', 'substance', ',', 'and', 'so', 'important', 'as', 'an', 'article', 'of', 'commerce', ',', 'that', 'in', '1791', 'a', 'certain', 'Nantucket-born', 'Captain', 'Coffin', 'was', 'examined', 'at', 'the', 'bar', 'of', 'the', 'English', 'House', 'of', 'Commons', 'on', 'that', 'subject', '.', 'For', 'at', 'that', 'time', ',', 'and', 'indeed', 'until', 'a', 'comparatively', 'late', 'day', ',', 'the', 'precise', 'origin', 'of', 'ambergris', 'remained', ',', 'like']",a,[]
29,"['importance', 'of', 'sustaining', 'his', 'dignity', 'by', 'maintaining', 'his', 'legs', '.', 'Nor', 'is', 'this', 'any', 'very', 'easy', 'matter', ';', 'for', 'in', 'his', 'rear', 'is', 'the', 'immense', 'projecting', 'steering', 'oar', 'hitting', 'him', 'now', 'and', 'then', 'in', 'the', 'small', 'of', 'his', 'back', ',', 'the', 'after-oar', 'reciprocating', 'by', 'rapping', 'his', 'knees', 'in', 'front', '.', 'He', 'is', 'thus', 'completely', 'wedged', 'before', 'and', 'behind', ',', 'and', 'can', 'only', 'expand', 'himself', 'sideways', 'by', 'settling', 'down', 'on', 'his', 'stretched', 'legs', ';', 'but', 'a', 'sudden', ',', 'violent', 'pitch', 'of', 'the', 'boat', 'will', 'often', 'go', 'far', 'to', 'topple', 'him', ',', 'because', 'length', 'of', 'foundation', 'is', 'nothing', 'without', 'corresponding', 'breadth', '.']",a,[]
